name,smiles,category
benzene,C1=CC=CC=C1,aromatic_hydrocarbon
naphthalene,C1=CC=C2C=CC=CC2=C1,polycyclic_aromatic
anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1,polycyclic_aromatic
cyclohexane,C1CCCCC1,cycloalkane
methanol,CO,alcohol
ethanol,CCO,alcohol
2-propanol,CC(C)O,alcohol
acetone,CC(=O)C,ketone
2-butanone,CCC(=O)C,ketone
benzaldehyde,C1=CC=C(C=C1)C=O,aromatic_aldehyde
acetic_acid,CC(=O)O,carboxylic_acid
benzoic_acid,C1=CC=C(C=C1)C(=O)O,aromatic_carboxylic_acid
chlorobenzene,C1=CC=C(C=C1)Cl,halogenated_aromatic
dichloromethane,C(Cl)Cl,halogenated_aliphatic
chloroform,C(Cl)(Cl)Cl,halogenated_aliphatic
carbon_tetrachloride,C(Cl)(Cl)(Cl)Cl,halogenated_aliphatic
pyridine,C1=CC=NC=C1,heterocyclic_aromatic
furan,C1=COC=C1,heterocyclic_aromatic
thiophene,C1=CSC=C1,heterocyclic_aromatic
hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C,silicon_compound
aniline,C1=CC=C(C=C1)N,aromatic_amine
acetonitrile,CC#N,nitrile
methane,C,alkane
ethane,CC,alkane
propane,CCC,alkane
butane,CCCC,alkane
pentane,CCCCC,alkane
hexane,CCCCCC,alkane
heptane,CCCCCCC,alkane
octane,CCCCCCCC,alkane
nonane,CCCCCCCCC,alkane
decane,CCCCCCCCCC,alkane
ethene,C=C,alkene
propene,CC=C,alkene
1-butene,CCC=C,alkene
2-butene,CC=CC,alkene
1-pentene,CCCC=C,alkene
isobutene,CC(=C)C,alkene
ethyne,C#C,alkyne
propyne,CC#C,alkyne
1-butyne,CCC#C,alkyne
2-butyne,CC#CC,alkyne
formaldehyde,C=O,aldehyde
acetaldehyde,CC=O,aldehyde
propionaldehyde,CCC=O,aldehyde
butyraldehyde,CCCC=O,aldehyde
formic_acid,C(=O)O,carboxylic_acid
propionic_acid,CCC(=O)O,carboxylic_acid
butyric_acid,CCCC(=O)O,carboxylic_acid
oxalic_acid,OC(=O)C(=O)O,dicarboxylic_acid
succinic_acid,C(CC(=O)O)C(=O)O,dicarboxylic_acid
maleic_acid,OC(=O)C=CC(=O)O,dicarboxylic_acid
methyl_acetate,CC(=O)OC,ester
ethyl_acetate,CC(=O)OCC,ester
methyl_formate,COC=O,ester
propyl_formate,CCCOC=O,ester
dimethyl_ether,COC,ether
diethyl_ether,CCOCC,ether
tetrahydrofuran,C1CCCO1,cyclic_ether
acetophenone,CC(=O)C1=CC=CC=C1,aromatic_ketone
benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,aromatic_ketone
urea,NC(=O)N,amide
acetamide,CC(=O)N,amide
benzamide,C1=CC=C(C=C1)C(=O)N,aromatic_amide
formamide,NC=O,amide
nitrobenzene,C1=CC=C(C=C1)[N+](=O)[O-],nitro_aromatic
nitromethane,C[N+](=O)[O-],nitro_aliphatic
phenol,C1=CC=C(C=C1)O,aromatic_alcohol
catechol,C1=CC=C(C(=C1)O)O,aromatic_diol
resorcinol,C1=CC(=CC(=C1)O)O,aromatic_diol
toluene,CC1=CC=CC=C1,aromatic_hydrocarbon
styrene,C=CC1=CC=CC=C1,aromatic_alkene
trichloroethylene,C(Cl)=C(Cl)Cl,halogenated_alkene
tetrachloroethylene,ClC(Cl)=C(Cl)Cl,halogenated_alkene
bromoethane,CCBr,halogenated_aliphatic
