name,smiles
CHEMBL66210,N#Cc1cccc(C(=O)O)c1
CHEMBL71197,N#[N+]c1cccc(C(=O)[O-])c1
CHEMBL40426,CC(=O)Oc1ccc(N)cc1
CHEMBL305741,N#[N+]c1nccn1CC(=O)[O-]
CHEMBL282068,Nc1cccc(CC(=O)O)n1
CHEMBL50725,Cc1ccc(C(=O)O)c(O)n1
MESALAMINE,Nc1ccc(O)c(C(=O)O)c1
ARECOLINE,COC(=O)C1=CCCN(C)C1
CHEMBL65298,CCCC(N=C=O)C(=O)OC
CHEMBL72591,CC(C)C1CN(C(=O)O)C1=O
CHEMBL292500,NCC1CCC(C(=O)O)CC1
DIHYDROOROTATE,O=C1CC(C(=O)O)NC(=O)N1
CHEMBL284895,NC(C(=O)O)c1cc(O)no1
CHEMBL75711,O=NN1CCCCC1C(=O)O
CHEMBL38817,C=C(CC(N)C(=O)O)C(=O)O
CHEMBL52461,CC(N)C(=O)NC(C)C(=O)O
CHEMBL33544,C[N+](C)(C)CC(N)CC(=O)[O-]
METHACHOLINE,CC(=O)OC(C)C[N+](C)(C)C
INDOLE-2-CARBOXYLIC ACID,O=C(O)c1cc2ccccc2[nH]1
CHEMBL38241,CC(CC(N)C(=O)O)C(=O)O
CHEMBL37859,NC/C=C/C(N)(CF)C(=O)O
CHEMBL67007,O=C(O)c1cn2ccncc2n1
CHEMBL280922,C=CCOC(=O)c1cnccn1
CHEMBL38759,NCCCC(N)(CF)C(=O)O
DL-PHENYLALANINE,NC(Cc1ccccc1)C(=O)O
BENZOCAINE,CCOC(=O)c1ccc(N)cc1
CHEMBL19792,CCCOC(=O)c1cnccn1
CHEMBL274839,O=C(O)c1cccc([N+](=O)[O-])c1
DIPICOLINIC ACID,O=C(O)c1cccc(C(=O)O)n1
QUINOLINIC ACID,O=C(O)c1cccnc1C(=O)O
CHEMBL69448,N#[N+]c1nc(CC(=O)[O-])cs1
CHEMBL70480,N#[N+]c1ncc(CC(=O)[O-])s1
CHEMBL297209,Cc1nc(CC(N)C(=O)O)c[nH]1
CHEMBL64000,CC(=O)OC1CC2CCCC1N2
CHEMBL304551,CC(=O)OC1CC2CC1N(C)C2
CHEMBL14648,COC(=O)C1CN2CCC1CC2
CHEMBL64788,COC(=O)C1CC2CCCC1N2
ACECLIDINE,CC(=O)OC1CN2CCC1CC2
CHEMBL275510,Cn1cc([N+](=O)[O-])cc1C(=O)O
CHEMBL276267,Cn1c(C(=O)O)ccc1[N+](=O)[O-]
CHEMBL17539,COC(=O)N1N=C(C)N=NC1C
CHEMBL17174,CCc1[nH]c(O)nc1C(=O)OC
CHEMBL294483,CCOC(=O)NN1CC=CCC1
CHEMBL39512,CCC(=O)OC1CCN(C)CC1
GABAPENTIN,NCC1(CC(=O)O)CCCCC1
CHEMBL36767,Nc1ccc(Cl)cc1C(=O)O
CHEMBL41352,CNC(C(=O)O)c1cc(O)no1
CHEMBL9907,NC(Cc1cc(O)no1)C(=O)O
CHEMBL280585,Cc1onc(O)c1C(N)C(=O)O
CHEMBL412445,CC(N)(C(=O)O)C1CC1C(=O)O
CHEMBL77595,N#C/C(=C\c1ccccc1)C(=O)O
CHEMBL275098,O=C(O)c1cnc2ccccc2c1
CHEMBL62690,CN(C)C(=O)Oc1cnsn1
CHEMBL48431,COC(=O)CCCCN=C=S
CHEMBL23328,Cc1ccc2[nH]c(C(=O)O)cc2c1
CHEMBL36834,Cn1c(C(=O)O)cc2ccccc21
CHEMBL67752,NC(C(=O)O)C(C(=O)O)C(=O)O
CHEMBL45286,O=C(O)/C=C/C(=O)c1cccnc1
CHEMBL66697,COC(=O)c1cn2ccncc2n1
CHEMBL11912,O=C(O)C1Cc2ccccc2CN1
5-FLUOROINDOLE-2-CARBOXYLIC ACID,O=C(O)c1cc2cc(F)ccc2[nH]1
HIPPURIC ACID,O=C(O)CNC(=O)c1ccccc1
4-GUANIDINO-BENZOIC ACID,N=C(N)Nc1ccc(C(=O)O)cc1
FUSARIC ACID,CCCCc1ccc(C(=O)O)nc1
CHEMBL26901,NC(CC(=O)O)Cc1ccccc1
CHEMBL288614,NC/C=C/C(N)(C(=O)O)C(F)F
CHEMBL280828,O=C(O)Cc1cccnc1C(=O)O
4-NITROPHENYL ACETATE,CC(=O)Oc1ccc([N+](=O)[O-])cc1
CHEMBL412663,COC(=O)C1=CCC2CCC1N2C
EFLORNITHINE,NCCCC(N)(C(=O)O)C(F)F
