name,smiles,category
10486-61-0,Ic1ccsc1,cost_probe_6heavy
753-89-9,CC(C)(C)CCl,cost_probe_6heavy
115-21-9,CC[Si](Cl)(Cl)Cl,cost_probe_6heavy
3268-49-3,CSCCC=O,cost_probe_6heavy
624-73-7,ICCI,cost_probe_4heavy
463-58-1,O=C=S,cost_probe_3heavy
1489-69-6,O=CC1CC1,cost_probe_5heavy
298-18-0,C1OC1C1CO1,cost_probe_6heavy
75-77-4,C[Si](C)(C)Cl,cost_probe_5heavy
10294-34-5,ClB(Cl)Cl,cost_probe_4heavy
157-40-4,C1CC12CC2,cost_probe_5heavy
59-52-9,OCC(S)CS,cost_probe_6heavy
31087-44-2,CCCC(C)O,cost_probe_6heavy
2984-42-1,ClC=CC=CCl,cost_probe_6heavy
542-91-6,CC[SiH2]CC,cost_probe_5heavy
870-23-5,C=CCS,cost_probe_4heavy
926-56-7,C=CC=C(C)C,cost_probe_6heavy
14977-61-8,[O]=[Cr](=[O])([Cl])[Cl],cost_probe_5heavy
627-53-2,CC[Se]CC,cost_probe_5heavy
2094-97-5,C1CSCO1,cost_probe_5heavy
461-58-5,N#CNC(=N)N,cost_probe_6heavy
4461-41-0,CC=C(C)Cl,cost_probe_5heavy
684-00-4,ClCC(Cl)[Si](Cl)(Cl)Cl,cost_probe_8heavy
74630-91-4,CCCC(C)(CC)OC,cost_probe_9heavy
505-66-8,C1CNCCNC1,cost_probe_7heavy
3518-83-0,CCN1CCC(O)CC1,cost_probe_9heavy
7355-58-0,CC(=O)NCCCl,cost_probe_7heavy
645-96-5,[SeH]c1ccccc1,cost_probe_7heavy
106-44-5,Cc1ccc(O)cc1,cost_probe_8heavy
7119-92-8,CCN(CC)[N+](=O)[O-],cost_probe_8heavy
76588-98-2,CC=CCC1CC1,cost_probe_7heavy
7006-52-2,CNc1cccc(Cl)c1,cost_probe_9heavy
80-73-9,CN1CCN(C)C1=O,cost_probe_8heavy
14093-58-4,C=CC(CCCC)OC,cost_probe_9heavy
2432-92-0,CCCCC(=O)SCC,cost_probe_9heavy
583-75-5,Cc1cc(Br)ccc1N,cost_probe_9heavy
2845-89-8,COc1cccc(Cl)c1,cost_probe_9heavy
19377-75-4,OCC(O)c1ccco1,cost_probe_9heavy
616-05-7,CCCCC(Br)C(=O)O,cost_probe_9heavy
675-20-7,O=C1CCCCN1,cost_probe_7heavy
690-39-1,FC(F)(F)CC(F)(F)F,cost_probe_9heavy
6602-28-4,[O-][n+]1cccc(O)c1,cost_probe_8heavy
106-49-0,Cc1ccc(N)cc1,cost_probe_8heavy
95-76-1,Nc1ccc(Cl)c(Cl)c1,cost_probe_9heavy
6852-58-0,CC(C)(C)N=Cc1ccccc1,cost_probe_12heavy
615-84-9,CCNC(=O)C(=O)NCC,cost_probe_10heavy
1878-66-6,O=C(O)Cc1ccc(Cl)cc1,cost_probe_11heavy
1559-86-0,Fc1cc(F)c(Br)c(F)c1F,cost_probe_11heavy
56175-44-1,COC1c2ccccc2CC1O,cost_probe_12heavy
13151-99-0,CC1CCCCC(C)CC1,cost_probe_10heavy
535-77-3,Cc1cccc(C(C)C)c1,cost_probe_10heavy
62016-37-9,CCC(C)CC(C)CC(C)C,cost_probe_11heavy
2150-45-0,COC(=O)c1c(O)cccc1O,cost_probe_12heavy
33426-53-8,CSc1nc2ncncc2[nH]1,cost_probe_11heavy
349-95-1,OCc1ccc(C(F)(F)F)cc1,cost_probe_12heavy
65370-06-1,CCSCc1ccccc1O,cost_probe_11heavy
5577-68-4,C[Si](C)(C)NC1CCCCC1,cost_probe_11heavy
17312-45-7,CCCCCCC(C)C(C)CC,cost_probe_12heavy
19841-72-6,CCCCCC(O)C(C)(C)C,cost_probe_11heavy
103-05-9,CC(C)(O)CCc1ccccc1,cost_probe_12heavy
30558-43-1,CSC(=NO)C(=O)N(C)C,cost_probe_10heavy
55724-73-7,CCCCOCCCC(=O)O,cost_probe_11heavy
24139-33-1,C1=CC23C=CC2(C=C1)CCCC3,cost_probe_12heavy
4292-00-6,CCCCCCCC1=CCCC1,cost_probe_12heavy
13078-80-3,NCCc1ccccc1Cl,cost_probe_10heavy
2510-36-3,Cc1noc(C)c1C(=O)O,cost_probe_10heavy
2437-25-4,CCCCCCCCCCCC#N,cost_probe_13heavy
5588-29-4,CC1NC(=O)COC1c1ccccc1,cost_probe_14heavy
613-50-3,O=[N+]([O-])c1ccc2ncccc2c1,cost_probe_13heavy
635-51-8,O=C(O)CC(C(=O)O)c1ccccc1,cost_probe_14heavy
12146-91-7,C[C]12[CH]3[CH]4[CH]5[CH]1[Co]45321678[CH]2[CH]1[CH]6[C]7(C)[CH]28,cost_probe_13heavy
119-56-2,OC(c1ccccc1)c1ccc(Cl)cc1,cost_probe_15heavy
5429-28-7,CCN(CC)c1ccc(C(=O)O)cc1,cost_probe_14heavy
1694-57-1,O=C(c1ccccn1)c1ccccc1Cl,cost_probe_15heavy
831-81-2,Clc1ccc(Cc2ccccc2)cc1,cost_probe_14heavy
244-63-3,c1ccc2c(c1)[nH]c1cnccc12,cost_probe_13heavy
103-48-0,CC(C)C(=O)OCCc1ccccc1,cost_probe_14heavy
91-02-1,O=C(c1ccccc1)c1ccccn1,cost_probe_14heavy
50-18-0,O=P1(N(CCCl)CCCl)NCCCO1,cost_probe_14heavy
86-57-7,O=[N+]([O-])c1cccc2ccccc12,cost_probe_13heavy
5451-96-7,CCCCCCCCCOC(=O)CCl,cost_probe_14heavy
18594-05-3,CC(=O)c1ccc(C2CCCCC2)cc1,cost_probe_15heavy
13341-40-7,C(=Cc1ccccn1)c1ccccn1,cost_probe_14heavy
1203-08-3,CC(=O)C=CC1=C(C)C=CCC1(C)C,cost_probe_14heavy
25415-71-8,CCCCCOC(=O)CCC(C)C,cost_probe_13heavy
51-28-5,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,cost_probe_13heavy
6375-47-9,COc1ccc(NC(C)=O)cc1N,cost_probe_13heavy
620-83-7,Cc1ccc(Cc2ccccc2)cc1,cost_probe_14heavy
1610-22-6,c1cc2c(c3c1CCCC3)CCC1CCCCC21,cost_probe_18heavy
37546-86-4,CC1=Nc2cc([N+](=O)[O-])ccc2NC(=O)C1,cost_probe_16heavy
1145-56-8,O=C(CCl)NC(Cc1ccc(O)cc1)C(=O)O,cost_probe_17heavy
2400-00-2,CCCCCCCCCC(CC)c1ccccc1,cost_probe_18heavy
6290-37-5,CCCCCC(=O)OCCc1ccccc1,cost_probe_16heavy
2779-69-3,ClC(Cl)=C(c1ccccc1)c1ccccc1,cost_probe_16heavy
34764-02-8,CCCCCCCCCC(OCC)OCC,cost_probe_16heavy
6050-13-1,O=c1oc(=O)c2ccccc2c2ccccc12,cost_probe_17heavy
83-01-2,O=C(Cl)N(c1ccccc1)c1ccccc1,cost_probe_16heavy
22509-74-6,CCOC(=O)N1C(=O)c2ccccc2C1=O,cost_probe_16heavy
5621-86-3,CNc1ccc(Cl)cc1C(=O)c1ccccc1Cl,cost_probe_18heavy
51067-85-7,CCCCCCCCCCC(O)C(=O)OC,cost_probe_16heavy
140690-56-8,FC(F)(F)c1ccc(CBr)c(C(F)(F)F)c1,cost_probe_16heavy
1019-57-4,CC=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],cost_probe_16heavy
21078-87-5,CCCCCCCCCCCC(O)CCCC,cost_probe_17heavy
38380-07-3,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,cost_probe_18heavy
65611-33-8,CCCCCCCCCCOC(=O)C(Cl)(Cl)Cl,cost_probe_17heavy
65976-60-5,O=[N+]([O-])c1cc(Cl)ccc1N1CCOCC1,cost_probe_16heavy
3027-38-1,O=C1OC(=O)c2cc([N+](=O)[O-])cc3cccc1c23,cost_probe_18heavy
57-42-1,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,cost_probe_18heavy
54230-59-0,Cc1cc(C)c(S(=O)(=O)n2cncn2)c(C)c1,cost_probe_17heavy
2436-79-5,CCOC(=O)c1[nH]c(C)c(C(=O)OCC)c1C,cost_probe_17heavy
