name,smiles,category
10486-61-0,Ic1ccsc1,cost_probe_6heavy
753-89-9,CC(C)(C)CCl,cost_probe_6heavy
115-21-9,CC[Si](Cl)(Cl)Cl,cost_probe_6heavy
3268-49-3,CSCCC=O,cost_probe_6heavy
684-00-4,ClCC(Cl)[Si](Cl)(Cl)Cl,cost_probe_8heavy
74630-91-4,CCCC(C)(CC)OC,cost_probe_9heavy
505-66-8,C1CNCCNC1,cost_probe_7heavy
3518-83-0,CCN1CCC(O)CC1,cost_probe_9heavy
6852-58-0,CC(C)(C)N=Cc1ccccc1,cost_probe_12heavy
615-84-9,CCNC(=O)C(=O)NCC,cost_probe_10heavy
1878-66-6,O=C(O)Cc1ccc(Cl)cc1,cost_probe_11heavy
1559-86-0,Fc1cc(F)c(Br)c(F)c1F,cost_probe_11heavy
2437-25-4,CCCCCCCCCCCC#N,cost_probe_13heavy
5588-29-4,CC1NC(=O)COC1c1ccccc1,cost_probe_14heavy
613-50-3,O=[N+]([O-])c1ccc2ncccc2c1,cost_probe_13heavy
635-51-8,O=C(O)CC(C(=O)O)c1ccccc1,cost_probe_14heavy
1610-22-6,c1cc2c(c3c1CCCC3)CCC1CCCCC21,cost_probe_18heavy
37546-86-4,CC1=Nc2cc([N+](=O)[O-])ccc2NC(=O)C1,cost_probe_16heavy
1145-56-8,O=C(CCl)NC(Cc1ccc(O)cc1)C(=O)O,cost_probe_17heavy
2400-00-2,CCCCCCCCCC(CC)c1ccccc1,cost_probe_18heavy
136-25-4,CC(Cl)(Cl)C(=O)OCCOc1cc(Cl)c(Cl)cc1Cl,cost_probe_19heavy
56554-86-0,C=CCCCCCCCCCCCCCCCC=O,cost_probe_19heavy
4534-52-5,CCCCCCCCCCC(CC)c1ccccc1,cost_probe_19heavy
5405-53-8,O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,cost_probe_19heavy
104255-94-9,CC(C)(C)[Si](C)(C)OC(=O)CCCCC(=O)O[Si](C)(C)C(C)(C)C,cost_probe_24heavy
85-70-1,CCCCOC(=O)COC(=O)c1ccccc1C(=O)OCCCC,cost_probe_24heavy
68601-97-8,CCCCCCCCCCCCCCCC(O)C(O)C(=O)O,cost_probe_22heavy
853-39-4,O=C(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,cost_probe_24heavy
910-31-6,CC(C)CCCC(C)C1CCC2C3CC=C4CC(Cl)CCC4(C)C3CCC12C,cost_probe_28heavy
128-33-6,CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)CC1CC3,cost_probe_28heavy
603-50-9,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,cost_probe_27heavy
42232-29-1,CCCCCCCCCCCCCCCC(=O)OCCCCCCCCCCCC,cost_probe_30heavy
511-12-6,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21,cost_probe_43heavy
574-93-6,c1ccc2c(c1)-c1nc-2nc2[nH]c(nc3nc(nc4[nH]c(n1)c1ccccc41)-c1ccccc1-3)c1ccccc21,cost_probe_40heavy
25767-20-8,COC(=O)CCC1=C(C)c2cc3[nH]c(cc4nc(cc5[nH]c(cc1n2)c(C)c5CCC(=O)OC)C(C)=C4CCC(=O)OC)c(C)c3CCC(=O)OC,cost_probe_52heavy
4740-51-6,c1ccc(-c2cccc(-c3cccc(-c4cccc(-c5cccc(-c6ccccc6)c5)c4)c3)c2)cc1,cost_probe_36heavy
