name,smiles,category
decoy_DNJIEGIFACGWOD-UHFFFAOYSA-N,CCS,decoy_C2H6S
decoy_IAYPIBMASNFSPL-UHFFFAOYSA-N,C1CO1,decoy_C2H4O
decoy_IMHRONYAKYWGCC-UHFFFAOYSA-N,CN=O,decoy_CH3NO
decoy_IYABWNGZIDDRAK-UHFFFAOYSA-N,C=C=C,decoy_C3H4
decoy_LVZWSLJZHVFIQJ-UHFFFAOYSA-N,C1CC1,decoy_C3H6
decoy_OOXWYYGXTJLWHA-UHFFFAOYSA-N,C1=CC1,decoy_C3H4
decoy_ZRKSVHFXTRFQFL-UHFFFAOYSA-N,[C-]#[N+]C,decoy_C2H3N
decoy_AHHWIHXENZJRFG-UHFFFAOYSA-N,C1COC1,decoy_C3H6O
decoy_ATHHXGZTWNVVOU-UHFFFAOYSA-N,CNC=O,decoy_C2H5NO
decoy_BDERNNFJNOPAEC-UHFFFAOYSA-N,CCCO,decoy_C3H8O
decoy_BLLFVUPNHCTMSV-UHFFFAOYSA-N,CON=O,decoy_CH3NO2
decoy_CFBGXYDUODCMNS-UHFFFAOYSA-N,C1=CCC1,decoy_C4H6
decoy_DGVVWUTYPXICAM-UHFFFAOYSA-N,OCCS,decoy_C2H6OS
decoy_FZENGILVLUJGJX-UHFFFAOYSA-N,CC=NO,decoy_C2H5NO
decoy_GOOHAUXETOMSMM-UHFFFAOYSA-N,CC1CO1,decoy_C3H6O
decoy_KAKZBPTYRLMSJV-UHFFFAOYSA-N,C=CC=C,decoy_C4H6
decoy_LASLVGACQUUOEB-UHFFFAOYSA-N,C1C2CC12,decoy_C4H6
decoy_NNPPMTNAJDCUHE-UHFFFAOYSA-N,CC(C)C,decoy_C4H10
decoy_PMPVIKIVABFJJI-UHFFFAOYSA-N,C1CCC1,decoy_C4H8
decoy_QNRMTGGDHLBXQZ-UHFFFAOYSA-N,C=C=CC,decoy_C4H6
decoy_SHDPRTQPPWIEJG-UHFFFAOYSA-N,CC1=CC1,decoy_C4H6
decoy_WGCNASOHLSPBMP-UHFFFAOYSA-N,O=CCO,decoy_C2H4O2
decoy_XJRBAMWJDBPFIM-UHFFFAOYSA-N,C=COC,decoy_C3H6O
decoy_XOBKSJJDNFUZPF-UHFFFAOYSA-N,CCOC,decoy_C3H8O
decoy_XSGHLZBESSREDT-UHFFFAOYSA-N,C=C1CC1,decoy_C4H6
decoy_XXROGKLTLUQVRX-UHFFFAOYSA-N,C=CCO,decoy_C3H6O
decoy_XZBIXDPGRMLSTC-UHFFFAOYSA-N,NNC=O,decoy_CH4N2O
decoy_AMIMRNSIRUDHCM-UHFFFAOYSA-N,CC(C)C=O,decoy_C4H8O
decoy_AUQDITHEDVOTCU-UHFFFAOYSA-N,N#CC1CC1,decoy_C4H5N
decoy_BDFAOUQQXJIZDG-UHFFFAOYSA-N,CC(C)CS,decoy_C4H10S
decoy_BDJAEZRIGNCQBZ-UHFFFAOYSA-N,CC1CCC1,decoy_C5H10
decoy_BKOOMYPCSUNDGP-UHFFFAOYSA-N,CC=C(C)C,decoy_C5H10
decoy_BTANRVKWQNVYAZ-UHFFFAOYSA-N,CCC(C)O,decoy_C4H10O
decoy_BYDRTKVGBRTTIT-UHFFFAOYSA-N,C=C(C)CO,decoy_C4H8O
decoy_CRSOQBOWXPBRES-UHFFFAOYSA-N,CC(C)(C)C,decoy_C5H12
decoy_CTKINSOISVBQLD-UHFFFAOYSA-N,OCC1CO1,decoy_C3H6O2
decoy_DKGAVHZHDRPRBM-UHFFFAOYSA-N,CC(C)(C)O,decoy_C4H10O
decoy_FASUFOTUSHAIHG-UHFFFAOYSA-N,C=CCOC,decoy_C4H8O
decoy_FJKIXWOMBXYWOQ-UHFFFAOYSA-N,C=COCC,decoy_C4H8O
decoy_FOTXAJDDGPYIFU-UHFFFAOYSA-N,CCC1CC1,decoy_C5H10
decoy_GELKGHVAFRCJNA-UHFFFAOYSA-N,CC1(C)CO1,decoy_C4H8O
decoy_GTCAXTIRRLKXRU-UHFFFAOYSA-N,COC(N)=O,decoy_C2H5NO2
decoy_GUDMZGLFZNLYEY-UHFFFAOYSA-N,OCC1CC1,decoy_C4H8O
