name,smiles,category
benzene,C1=CC=CC=C1,aromatic_hydrocarbon
naphthalene,C1=CC=C2C=CC=CC2=C1,polycyclic_aromatic
acetone,CC(=O)C,ketone
pyridine,C1=CC=NC=C1,heterocyclic_aromatic
aniline,C1=CC=C(C=C1)N,aromatic_amine
succinic_acid,C(CC(=O)O)C(=O)O,dicarboxylic_acid
ethyl_acetate,CC(=O)OCC,ester
phenol,C1=CC=C(C=C1)O,aromatic_alcohol
toluene,CC1=CC=CC=C1,aromatic_hydrocarbon
glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,saccharide
sucrose,OC[C@H]1OC(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,saccharide
maltose,OC[C@H]1O[C@@H](O[C@H]2OC(CO)C(O)C(O)C2O)[C@H](O)[C@H](O)[C@H]1O,saccharide
riboflavin,CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2,vitamin_derivative
cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,steroid
progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,steroid_hormone
salicylic_acid,OC(=O)C1=CC=CC=C1O,phenolic_acid
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,xanthine_alkaloid
limonene,CC1=CCC(CC1)C(=C)C,monoterpene
