name,smiles,category
iodoform,C(I)(I)I,halogenated_aliphatic
tetrachloroethylene,ClC(Cl)=C(Cl)Cl,halogenated_alkene
hexamethylcyclotrisiloxane,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,silicon_oxygen_compound
cysteine,NC(CS)C(=O)O,amino_acid
asparagine,NC(=O)CC(N)C(=O)O,amino_acid
glutamine,NC(=O)CCC(N)C(=O)O,amino_acid
arginine,NC(N)=NCCCC(N)C(=O)O,basic_amino_acid
deoxyribose,OCC1OC(O)CC1O,saccharide
linoleic_acid,CCCCCC=CCC=CCCCCCCCC(=O)O,polyunsaturated_fatty_acid
nicotinamide,NC(=O)C1=CC=CN=C1,vitamin_derivative
riboflavin,CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)CO)C1=NC(=O)NC(=O)C1=N2,vitamin_derivative
ascorbic_acid,O=C1OC(C(O)CO)C(O)=C1O,vitamin_C
cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,steroid
guanine,NC1=NC2=C(NC=N2)C(=O)N1,purine_base
adenosine,NC1=C2N=CN(C3OC(CO)C(O)C3O)C2=NC=N1,nucleoside
spermine,NCCCNCCCCNCCCN,polyamine
dopamine,NCCC1=CC(O)=C(O)C=C1,neurotransmitter
tyramine,NCCC1=CC=C(O)C=C1,biogenic_amine
melatonin,COC1=CC2=C(C=C1)NC=C2CCNC(C)=O,hormone
testosterone,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,steroid_hormone
estradiol,CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CCC2O,steroid_hormone
estrone,CC12CCC3C4=C(C=C(O)C=C4)CCC3C1CCC2=O,steroid_hormone
progesterone,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,steroid_hormone
cortisol,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,glucocorticoid
aldosterone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,mineralocorticoid
dehydroepiandrosterone,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,steroid_precursor
biotin,O=C(O)CCCCC1SCC2NC(=O)NC21,vitamin_B7_cofactor
beta_carotene,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,carotenoid
eugenol,C=CCC1=CC(OC)=C(O)C=C1,phenylpropanoid
chloramphenicol,O=C(NC(CO)C(O)C1=CC=C([N+](=O)[O-])C=C1)C(Cl)Cl,nitroaromatic_antibiotic
griseofulvin,COC1=CC(OC)=C2C(=O)C3(OC2=C1Cl)C(OC)=CC(=O)CC3C,microtubule_inhibitor
aflatoxin_B1,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C2C(=C1)OC1OC=CC21,mycotoxin
scopolamine,CN1C2CC(OC(=O)C(CO)C3=CC=CC=C3)CC1C1OC12,tropane_alkaloid
atropine,CN1C2CCC1CC(OC(=O)C(CO)C1=CC=CC=C1)C2,tropane_alkaloid
codeine,COC1=C2OC3C(O)C=CC4C5CC(=C2C43CCN5C)C=C1,methyl_morphinan_alkaloid
citral,CC(C)=CCCC(C)=CC=O,monoterpenoid_aldehyde
