name,smiles,category
cyclohexane,C1CCCCC1,cycloalkane
butane,CCCC,alkane
pentane,CCCCC,alkane
hexane,CCCCCC,alkane
heptane,CCCCCCC,alkane
octane,CCCCCCCC,alkane
nonane,CCCCCCCCC,alkane
decane,CCCCCCCCCC,alkane
1-pentene,CCCC=C,alkene
leucine,CC(C)CC(N)C(=O)O,amino_acid
phenylalanine,NC(Cc1ccccc1)C(=O)O,aromatic_amino_acid
tyrosine,NC(Cc1ccc(O)cc1)C(=O)O,aromatic_amino_acid
tryptophan,NC(Cc1c[nH]c2ccccc12)C(=O)O,aromatic_amino_acid
lysine,NCCCC(N)C(=O)O,basic_amino_acid
glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,saccharide
mannose,OC[C@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@H]1O,saccharide
sucrose,OC[C@H]1OC(O[C@H]2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,saccharide
maltose,OC[C@H]1O[C@@H](O[C@H]2OC(CO)C(O)C(O)C2O)[C@H](O)[C@H](O)[C@H]1O,saccharide
valeric_acid,CCCCC(=O)O,carboxylic_acid
caproic_acid,CCCCCC(=O)O,fatty_acid
caprylic_acid,CCCCCCCC(=O)O,fatty_acid
capric_acid,CCCCCCCCCC(=O)O,fatty_acid
lauric_acid,CCCCCCCCCCCC(=O)O,fatty_acid
myristic_acid,CCCCCCCCCCCCCC(=O)O,fatty_acid
palmitic_acid,CCCCCCCCCCCCCCCC(=O)O,fatty_acid
stearic_acid,CCCCCCCCCCCCCCCCCC(=O)O,fatty_acid
oleic_acid,CCCCCCC=CCCCCCCCC(=O)O,unsaturated_fatty_acid
linoleic_acid,CCC=CCC=CCCCCCCCC(=O)O,polyunsaturated_fatty_acid
riboflavin,C1=CC(=O)N=C2N=C(N)C(=O)C=C2N1C1C(C(C(O1)CO)O)O,vitamin_derivative
cholesterol,CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C,steroid
adenosine,C1=NC2=C(N=CN2)[N]1CC3C(C(C(O3)CO)O)O,nucleoside
betaine,C[N+](C)(C)CC(=O)[O-],methyl_donor
spermine,NCCCNCCCCNCCC(N)N,polyamine
tryptamine,C1=CC=C2C(=C1)C(=CN2)CCN,biogenic_amine
octopamine,CC(CO)C1=CC=CC=C1,biogenic_amine
melatonin,CC(=O)NCCC1=CNc2cc(O)ccc12,hormone
testosterone,CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34,steroid_hormone
estradiol,C1CC2=CC(=CC=C2C(C1)O)O,steroid_hormone
estrone,C1CC2=CC(=CC=C2C(C1)=O)O,steroid_hormone
progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34)C,steroid_hormone
cortisol,CC1(C)C2CCC3C(C2CCC1O)CCC4=CC(=O)C(=O)C34,glucocorticoid
aldosterone,CC1(C)C2CCC3C(C2CCC1O)CCC4=CC(=O)C(O)C34,mineralocorticoid
dehydroepiandrosterone,CC12CCC3C(C1CCC2O)CCC4=CC=CC=C34,steroid_precursor
biotin,CC1C2SCC(N2C(=O)NCC(=O)O)C1,vitamin_B7_cofactor
beta_carotene,CC1=C(C=CC(=C1)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C)C,carotenoid
eugenol,CC=C(C)CC1=CC=C(C=C1)O,phenylpropanoid
griseofulvin,COC1=C(C(=O)C2=C(C1=O)OC3=C(C2)C=CC=C3)OC,microtubule_inhibitor
aflatoxin_B1,COC1=CC2=C(C=C1)C(=O)C3=C(C2=O)OC4=C3OC=CC4=O,mycotoxin
scopolamine,C1C2CC3OC(C(O)C3C2)C1OC(=O)C4=CC=CC=C4,tropane_alkaloid
atropine,CN1C(C=CC(=O)OC2C(O)C(C2)O)CC1,tropane_alkaloid
codeine,COC1=C2C3C4CCC5=CC(O)C=CC5C4C1CC(O2)N3,methyl_morphinan_alkaloid
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,xanthine_alkaloid
carbon_monoxide,[C-]#[O+],gaseous_signal
camphor,CC1(C)C2CCC1(C(=O)C2)C,bicyclic_monoterpenoid
limonene,CC1=CCC(CC1)C(=C)C,monoterpene
citral,CC(=C)CCC=CC=O,monoterpenoid_aldehyde
farnesol,CC(=CCCC(=CCCC(=CC)C)C)CO,diterpenoid_alcohol
