id,name,smiles
1,phenylalanine,O=C(O)C(N)CC=1C=CC=CC1
2,tryptophan,O=C(O)C(N)CC1=CNC2=CC=CC=C12
3,tyrosine,O=C(O)C(N)CC1=CC=C(O)C=C1
4,butanal,CCCC=O
5,oleic_acid,CCCCCCCCC=CCCCCCCCC(=O)O
6,toluene,CC1=CC=CC=C1
7,butylbenzene,CCCCC1=CC=CC=C1
8,alanine,C[C@@H](C(=O)O)N
9,phenylalanine,O=C(O)C(N)CC=1C=CC=CC1
10,hexane,CCCCCC
11,octane,CCCCCCCC
12,butene1,CCC=C
13,cyclohexene,C1CCC=CC1
14,benzene,C1=CC=CC=C1
15,xylene,CC1=CC=CC=C1C
16,methanol,CO
17,ethanol,CCO
18,propanol,CCCO
19,tetrahydrofuran,C1CCOC1
20,acetone,CC(=O)C
21,benzaldehyde,C1=CC=C(C=C1)C=O
22,butanone,CCC(=O)C
23,ethylAcetate,CCOC(=O)C
24,methylButanoate,CCCC(=O)OC
25,benzoicAcid,C1=CC=C(C=C1)C(=O)O
26,chlorobenzene,C1=CC=C(C=C1)Cl
27,chloroform,C(Cl)(Cl)Cl
28,carbonTetrachloride,C(Cl)(Cl)(Cl)Cl
29,dichloromethane,C(Cl)Cl
30,aniline,C1=CC=C(C=C1)N
31,methylamine,CN
32,pyridine,C1=CC=NC=C1
33,hexamethyldisilazane,C[Si](C)(C)N[Si](C)(C)C
34,naphthalene,C1=CC=C2C=CC=CC2=C1
35,anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1
36,phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32
37,ddt,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl
38,lindane,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
39,polychlorinatedBiphenyls,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl
40,testosterone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C
41,cholesterol,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C
42,linolenicAcid,O=C(O)CCCCCCCC=CCC=CCC=CC
