MoleculeName,SMILES,MoleculeComplexety, Time (seconds)
1_butene,CCC=C,3,7.23
1_butyne,CCC#C,3,8.21
1_pentene,CCCC=C,4,7.35
2_butanone,CCC(=O)C,4,11.25
2_butene,CC=CC,3,11.05
2_butyne,CC#CC,3,7.75
2_propanol,CC(C)O,3,19.25
acetaldehyde,CC=O,2,7.36
acetamide,CC(=O)N,3,9.02
acetic_acid,CC(=O)O,3,7.44
acetone,CC(=O)C,3,18.36
acetonitrile,CC#N,2,7.13
acetophenone,CC(=O)C1=CC=CC=C1,9,7.5
adenine,C1=NC2=C(N=CN2)N=C1N,11,97.19
alanine,CC(N)C(=O)O,5,7.48
aniline,C1=CC=C(C=C1)N,7,43.8
anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1,16,18209
arginine,N=C(N)NCCC(N)C(=O)O,10,77.39
ascorbic_acid,C(C(=O)C1=C(C(=O)O)C(O)C(O1)O)O,14,778939
asparagine,NCC(=O)NC(=O)O,7,9.1
aspartate,NC(CC(O)=O)C(O)=O,8,97.2
atropine,CN1C(C=CC(=O)OC2C(O)C(C2)O)CC1,17,12966
benzaldehyde,C1=CC=C(C=C1)C=O,8,145.75
benzamide,C1=CC=C(C=C1)C(=O)N,9,11.53
benzene,C1=CC=CC=C1,6,25.22
benzoic_acid,C1=CC=C(C=C1)C(=O)O,9,7488
benzophenone,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,15,7.76
betaine,C[N+](C)(C)CC(=O)[O-],7,249.12
biotin,CC1C2SCC(N2C(=O)NCC(=O)O)C1,16,13636
bromoethane,CCBr,2,7.21
butane,CCCC,3,7.71
butyraldehyde,CCCC=O,4,7.86
butyric_acid,CCCC(=O)O,5,8.05
caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,15,35.64
carbon_tetrachloride,C(Cl)(Cl)(Cl)Cl,4,7.53
catechol,C1=CC=C(C(=C1)O)O,8,230736
chlorobenzene,C1=CC=C(C=C1)Cl,7,40
chloroform,C(Cl)(Cl)Cl,3,6.56
citral,CC(=C)CCC=CC=O,8,87314
cyclohexane,C1CCCCC1,6,47.8
cysteine,CSCC(N)C(=O)O,7,9.32
cytosine,C1=CN=C(N)NC1=O,8,97.2
dichloromethane,C(Cl)Cl,2,6.58
diethyl_ether,CCOCC,4,7.48
diethyl_sulfide,CCSCC,4,7.75
dimethyl_ether,COC,2,7.75
dimethyl_sulfide,CSC,2,6.89
dimethyl_sulfoxide,CS(=O)C,3,7.91
dopamine,NC1=CC(=CC=C1O)O,9,80696
ethane,CC,1,7.45
ethanol,CCO,2,19.54
ethene,C=C,1,7.4
ethyl_acetate,CC(=O)OCC,5,7.99
ethyne,C#C,1,7.09
formaldehyde,C=O,1,7.31
formamide,NC=O,2,9.05
formic_acid,C(=O)O,2,7.2
furan,C1=COC=C1,5,9.22
gamma_aminobutyric_acid,C(CC(=O)O)CN,6,125.23
glutamate,C(CC(=O)O)C(C(=O)O)N,9,125.35
glutamine,NCCC(=O)NC(=O)O,8,9.31
glycine,C(C(=O)O)N,4,7.49
guanine,C1=NC2=C(N=CN2)C(=O)N1,11,97.22
heptane,CCCCCCC,6,7.8
hexamethylcyclotrisiloxane,C[Si](O[Si](C)(C)C)(C)C,8,7.97
