query_id,query_smiles,model,cosine,rank,rr,hit_at_1,hit_at_2,hit_at_3,hit_at_4,hit_at_5,hit_at_6,hit_at_7,hit_at_8,hit_at_9,hit_at_10,hit_at_11,hit_at_12,hit_at_13,hit_at_14,hit_at_15,hit_at_16,hit_at_17,hit_at_18,hit_at_19,hit_at_20
test_0000,C1=CC=CC=C1,Full model,0.5043347477912903,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0001,C1=CC=C2C=CC=CC2=C1,Full model,0.3469456434249878,26,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_0002,C1=CC=C2C=C3C=CC=CC3=CC2=C1,Full model,0.19040559232234955,7,0.14285714285714285,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0003,C1CCCCC1,Full model,0.6060482263565063,13,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
test_0004,CO,Full model,0.566458523273468,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0005,CCO,Full model,0.7273467183113098,3,0.3333333333333333,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0006,CC(C)O,Full model,0.6319500803947449,12,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
test_0007,CC(=O)C,Full model,0.5760293006896973,9,0.1111111111111111,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
test_0008,CCC(=O)C,Full model,0.4543219208717346,29,0.034482758620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_0009,C1=CC=C(C=C1)C=O,Full model,0.43212196230888367,15,0.06666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
test_0010,CC(=O)O,Full model,0.5809460878372192,10,0.1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
test_0011,C1=CC=C(C=C1)C(=O)O,Full model,0.408049613237381,2,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0012,C1=CC=C(C=C1)Cl,Full model,0.35354742407798767,13,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
test_0013,C(Cl)Cl,Full model,0.21885021030902863,92,0.010869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_0014,C(Cl)(Cl)Cl,Full model,0.18881461024284363,17,0.058823529411764705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
test_0015,C(Cl)(Cl)(Cl)Cl,Full model,0.13426294922828674,7,0.14285714285714285,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0016,C1=CC=NC=C1,Full model,0.34155404567718506,13,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
test_0017,C1=COC=C1,Full model,0.45138686895370483,13,0.07692307692307693,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
test_0018,C1=CSC=C1,Full model,0.47457167506217957,12,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
test_0019,C[Si](C)(C)N[Si](C)(C)C,Full model,0.3004550635814667,3,0.3333333333333333,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0020,C1=CC=C(C=C1)N,Full model,0.4358461797237396,2,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0021,CC#N,Full model,0.5716997385025024,2,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0000,C1=CC=CC=C1,No fragments,0.5107311606407166,1,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0001,C1=CC=C2C=CC=CC2=C1,No fragments,0.3497174382209778,26,0.038461538461538464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test_0002,C1=CC=C2C=C3C=CC=CC3=CC2=C1,No fragments,0.1925795078277588,4,0.25,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0003,C1CCCCC1,No fragments,0.6029258966445923,12,0.08333333333333333,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
test_0004,CO,No fragments,0.5664775967597961,2,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0005,CCO,No fragments,0.72911536693573,2,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
test_0006,CC(C)O,No fragments,0.6323002576828003,10,0.1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
test_0007,CC(=O)C,No fragments,0.5737134218215942,11,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
