Derivation Graph Computation Time for Each Molecule
====================================================

Legend:
- Time in seconds: Full computation completed
- error: Error occurred during processing
- skipped: Processing was skipped (dumps already existed)
- unknown: Status could not be determined from log files

Note: This analysis prioritizes actual computation times over skipped runs.
When multiple log files exist for a molecule, the completed run is preferred.

Molecule Name                          | SMILES                                 | Time (seconds)
---------------------------------------|----------------------------------------|---------------
1_butene                               | CCC=C                                  | 7.23
1_butyne                               | CCC#C                                  | 8.21
1_pentene                              | CCCC=C                                 | 7.35
2_arachidonoylglycerol                 |                                        | error
2_butanone                             | CCC(=O)C                               | 11.25
2_butene                               | CC=CC                                  | 11.05
2_butyne                               | CC#CC                                  | 7.75
2_propanol                             | CC(C)O                                 | 19.25
acetaldehyde                           | CC=O                                   | 7.36
acetamide                              | CC(=O)N                                | 9.02
acetate                                |                                        | error
acetic_acid                            | CC(=O)O                                | 7.44
acetone                                | CC(=O)C                                | 18.36
acetonitrile                           | CC#N                                   | 7.13
acetophenone                           | CC(=O)C1=CC=CC=C1                      | 7.50
acetyl_coa                             |                                        | error
acetylcholine                          |                                        | error
adenine                                | C1=NC2=C(N=CN2)N=C1N                   | 97.19
adenosine                              | C1=NC2=C(N=CN2)[N]1CC3C(C(C(O3)CO)O)O  | error
adenosine_monophosphate                |                                        | error
adenosine_triphosphate                 |                                        | error
aflatoxin_b1                           |                                        | error
alanine                                | CC(N)C(=O)O                            | 7.48
aldosterone                            | CC1(C)C2CCC3C(C2CCC1O)CCC4=CC(=O)C(O)C34 | error
alpha_ketoglutarate                    | O=C(O)CCC(=O)C(=O)O                    | error
amphotericin_b                         |                                        | error
ampicillin                             |                                        | error
anandamide                             |                                        | error
angiotensin_ii                         |                                        | error
aniline                                | C1=CC=C(C=C1)N                         | 43.80
anthocyanin_simplified                 |                                        | error
anthracene                             | C1=CC=C2C=C3C=CC=CC3=CC2=C1            | 18209.00
arginine                               | N=C(N)NCCC(N)C(=O)O                    | 77.39
artemisinin                            |                                        | error
ascorbic_acid                          | C(C(=O)C1=C(C(=O)O)C(O)C(O1)O)O        | 778939.00
asparagine                             | NCC(=O)NC(=O)O                         | 9.10
aspartate                              | NC(CC(O)=O)C(O)=O                      | 97.20
aspartic_acid                          |                                        | error
atropine                               | CN1C(C=CC(=O)OC2C(O)C(C2)O)CC1         | 12966.00
benzaldehyde                           | C1=CC=C(C=C1)C=O                       | 145.75
benzamide                              | C1=CC=C(C=C1)C(=O)N                    | 11.53
benzene                                | C1=CC=CC=C1                            | 25.22
benzoic_acid                           | C1=CC=C(C=C1)C(=O)O                    | 7488.00
benzophenone                           | C1=CC=C(C=C1)C(=O)C2=CC=CC=C2          | 7.76
beta_carotene                          | CC1=C(C=CC(=C1)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C)C | error
betaine                                | C[N+](C)(C)CC(=O)[O-]                  | 249.12
biotin                                 | CC1C2SCC(N2C(=O)NCC(=O)O)C1            | 13636.00
bradykinin                             |                                        | error
bromoethane                            | CCBr                                   | 7.21
butane                                 | CCCC                                   | 7.71
butyraldehyde                          | CCCC=O                                 | 7.86
butyric_acid                           | CCCC(=O)O                              | 8.05
caffeine                               | CN1C=NC2=C1C(=O)N(C(=O)N2C)C           | 35.64
camphor                                | CC1(C)C2CCC1(C(=O)C2)C                 | error
capric_acid                            | CCCCCCCCCC(=O)O                        | error
caproic_acid                           | CCCCCC(=O)O                            | error
caprylic_acid                          | CCCCCCCC(=O)O                          | error
capsaicin                              |                                        | unknown
carbon_monoxide                        | [C-]#[O+]                              | error
carbon_tetrachloride                   | C(Cl)(Cl)(Cl)Cl                        | 7.53
catechol                               | C1=CC=C(C(=C1)O)O                      | 230736.00
cephalexin                             |                                        | error
chloramphenicol                        | C1=CC(=CC=C1C(C(=O)N)C(Cl)C(=O)O)O     | error
chlorobenzene                          | C1=CC=C(C=C1)Cl                        | 40.00
chloroform                             | C(Cl)(Cl)Cl                            | 6.56
chlorophyll_a                          | CCC(=O)C1=NC2=C(C=C1C=C3C(=C(C=C(N3)C4=CC=C(C=C4)C(=O)OCC)C)C)C)N(C)C | error
cholesterol                            | CC(C)CCCC(C)C1CCC2C1(CCC3C2CCC4C3(CCC(C4)O)C)C | error
choline                                |                                        | error
citral                                 | CC(=C)CCC=CC=O                         | 87314.00
citrate                                |                                        | error
cocaine                                |                                        | error
codeine                                | COC1=C2C3C4CCC5=CC(O)C=CC5C4C1CC(O2)N3 | error
coenzyme_a                             |                                        | error
cortisol                               | CC1(C)C2CCC3C(C2CCC1O)CCC4=CC(=O)C(=O)C34 | error
cresol                                 |                                        | error
curcumin                               |                                        | error
cyclohexane                            | C1CCCCC1                               | 47.80
cysteine                               | CSCC(N)C(=O)O                          | 9.32
cytidine                               | C1=CN=C(NC1=O)N[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O | error
cytidine_monophosphate                 |                                        | error
cytosine                               | C1=CN=C(N)NC1=O                        | 97.20
decane                                 | CCCCCCCCCC                             | error
dehydroepiandrosterone                 | CC12CCC3C(C1CCC2O)CCC4=CC=CC=C34       | error
deoxyadenosine_triphosphate            |                                        | error
deoxyribose                            | OC[C@H]1O[C@@H](O)[C@H](O)[C@H]1O      | error
dichloromethane                        | C(Cl)Cl                                | 6.58
diethyl_ether                          | CCOCC                                  | 7.48
diethyl_sulfide                        | CCSCC                                  | 7.75
dimethyl_ether                         | COC                                    | 7.75
dimethyl_sulfide                       | CSC                                    | 6.89
dimethyl_sulfoxide                     | CS(=O)C                                | 7.91
dopamine                               | NC1=CC(=CC=C1O)O                       | 80696.00
dopamine_quinone                       |                                        | error
doxycycline                            |                                        | error
endothelin_fragment                    |                                        | error
epicatechin                            |                                        | error
epinephrine                            |                                        | error
erythromycin                           |                                        | unknown
erythromycin_a                         |                                        | unknown
erythronolide_b                        |                                        | unknown
estradiol                              | C1CC2=CC(=CC=C2C(C1)O)O                | error
estrone                                | C1CC2=CC(=CC=C2C(C1)=O)O               | error
ethane                                 | CC                                     | 7.45
ethanol                                | CCO                                    | 19.54
ethene                                 | C=C                                    | 7.40
ethyl_acetate                          | CC(=O)OCC                              | 7.99
ethyne                                 | C#C                                    | 7.09
eugenol                                | CC=C(C)CC1=CC=C(C=C1)O                 | error
farnesol                               | CC(=CCCC(=CCCC(=CC)C)C)CO              | error
flavin_adenine_dinucleotide            |                                        | error
folic_acid                             | NC1=NC(=O)NC2=NC=CC=C12N=C3NCC(=O)OCCCC(=O)O | error
formaldehyde                           | C=O                                    | 7.31
formamide                              | NC=O                                   | 9.05
formic_acid                            | C(=O)O                                 | 7.20
fructose                               |                                        | error
fumarate                               |                                        | error
furan                                  | C1=COC=C1                              | 9.22
galactose                              |                                        | error
gamma_aminobutyric_acid                | C(CC(=O)O)CN                           | 125.23
glucagon                               |                                        | error
glucose                                | OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O | error
glutamate                              | C(CC(=O)O)C(C(=O)O)N                   | 125.35
glutamic_acid                          |                                        | error
glutamine                              | NCCC(=O)NC(=O)O                        | 9.31
glycine                                | C(C(=O)O)N                             | 7.49
griseofulvin                           | COC1=C(C(=O)C2=C(C1=O)OC3=C(C2)C=CC=C3)OC | error
growth_hormone_fragment                |                                        | error
